Methods,Header File,IEEE Std 1003.1-202x (Issue 8)  (Draft),IEEE Std 1003.1-2017 (Issue 7 TC2),IEEE Std 1003.1-2008 (Issue 7),IEEE Std 1003.1-2003 (Issue 6),PSE51,PSE52,PSE53,PSE54,C99,C11,C17,FACE 2.1 Security,FACE 2.1 Safety Base,FACE 2.1 Safety Extended,FACE 2.1 General Purpose,FACE 3.0 Security,FACE 3.0 Safety Base,FACE 3.0 Safety Extended,FACE 3.0 General Purpose,FACE 3.1 Security,FACE 3.1 Safety Base,FACE 3.1 Safety Extended,FACE 3.1 General Purpose,FACE 3.2 Security,FACE 3.2 Safety Base,FACE 3.2 Safety Extended,FACE 3.2 General Purpose,SCA 2.2.2 AEP,SCA 4.1 Ultra Lightweight AEP,SCA 4.1 Lightweight AEP,SCA 4.1 [Full] AEP,RTEMS w/o Networking,RTEMS w/ Networking,Deos RTEMS Safety Base,Deos RTEMS Safety Ext,Deos RTEMS Gen Purp,RTEMS Impl Note,POSIX Functionality Categories
atoi(),stdlib.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,INCL,INCL,CTS-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_C_LANG_SUPPORT
atol(),stdlib.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,INCL,INCL,CTS-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_C_LANG_SUPPORT
atoll(),stdlib.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_SUPPORT
atomic_compare_exchange_strong(),stdatomic.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
atomic_compare_exchange_strong_explicit(),stdatomic.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
atomic_compare_exchange_weak(),stdatomic.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
atomic_compare_exchange_weak_explicit(),stdatomic.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
atomic_exchange(),stdatomic.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
atomic_exchange_explicit(),stdatomic.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
atomic_fetch_key(),stdatomic.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
atomic_fetch_key_explicit(),stdatomic.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
atomic_flag_clear(),stdatomic.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
atomic_flag_clear_explicit(),stdatomic.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
atomic_flag_test_and_set(),stdatomic.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
atomic_flag_test_and_set_explicit(),stdatomic.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
atomic_init(),stdatomic.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
atomic_is_lock_free(),stdatomic.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
atomic_load(),stdatomic.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
atomic_load_explicit(),stdatomic.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
atomic_signal_fence(),stdatomic.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
atomic_store(),stdatomic.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
atomic_store_explicit(),stdatomic.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
atomic_thread_fence(),stdatomic.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATOMIC_VAR_INIT(),stdatomic.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
basename(),libgen.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,XSI_FILE_SYSTEM
bcmp(),strings.h,,,,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
bcopy(),strings.h,,,,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
bind(),sys/socket.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,NET,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_NETWORKING
bind_textdomain_codeset(),libintl.h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
